"ID"	"type"	"date"	"location"	"loc "	"code"	"group size"	"num.inf"	"prop.inf"	"zswab"	"status"	"logZE"	"sd"	"SVL"	"tail"	"body.con"	"temp"	"yr.tmax"	"yr.ppt"	"rain"	"NearestAL"	"AL"	"NumAL"	"cover"	"length"	"width"	"area"	"density"	"N (lat)"	"W (long)"	"Notes"			
"MC470"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.4	3.89	1.1441176471	14	17.23	34.44	1.26	0.0007000714	"N"	0	"wood piece"	47	18	846	0.0012	36.61052	-121.93023	"l. grn"			
"MC472"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.89	2.32	0.5964010283	12.1	17.23	34.44	1.26	0	"Y"	1	"log"	90	18	1620	0.0006	36.61102	-121.93072	"l.grn"			
"MC473"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.48	4.79	1.3764367816	12.1	17.23	34.44	1.26	0	"Y"	1	"log"	93	7	651	0.0015	36.61102	-121.93072	"orange"			
"MC475"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.2	4.75	1.484375	16.5	17.23	34.44	1.26	0.0001612452	"Y"	1	"bark"	45	17	765	0.0013	36.61104	-121.93088	"l. blue"			
"MC476"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.82	4.4	1.1518324607	14.7	17.23	34.44	1.26	0.0001612452	"Y"	1	"bark"	64	23	1472	0.0007	36.61104	-121.93088	"orange. 2 m from 475"			
"MC477"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0		0	0		2.77	2.35	0.8483754513	13.5	17.23	34.44	1.26	0.0001360147	"Y"	2	"wood piece"	25	6	150	0.0067	36.61094	-121.93085				
"MC481"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.39	4.36	1.2861356932	16.2	17.23	34.44	1.26	0.0027089481	"N"	0	"log"	220	23	5060	0.0002	36.6082	-121.9312	"prev. recorded log"			
"MC484"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.52	4.65	1.3210227273	13.4	17.23	34.44	1.26	0.0028684491	"N"	0	"wood piece"	33	20	660	0.0015	36.60804	-121.9312	"could have eggs, not collected. l. grn"			
"MC485"	"B. luciae"	"3/1/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.46	4.26	1.2312138728	14.4	17.23	34.44	1.26	0.0029816774	"N"	0	"log"	124	14	1736	0.0006	36.60792	-121.93108				
"MC323"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	0	0	0	0	0		3.72	4.04	1.0860215054	14.2	16.98	38.97	0.56	0.0002816026	"N"	0	"bark"	46	16	736	0.0027	36.609	-121.93091	"under bark pice, under 324"			
"MC324"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	0	0	0	0	0		3.21	3.85	1.199376947	14.2	16.98	38.97	0.56	0.0002816026	"N"	0	"bark"	54	16	864	0.0023	36.609	-121.93091	"b/t 2 bark pieces. 324 directly under bark."			
"MC333"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	1	0.5	0	0	0		3.38	2.69	0.7958579882	14.1	16.98	38.97	0.56	"4.47213595578e-05"	"Y"	1	"log"	190	18	3420	0.0006	36.60923	-121.93085	"106 cm from 332"			
"MC339"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	1	0.5	0	0	0		0	0		14.9	16.98	38.97	0.56	0.0009414882	"N"	0	"bark"	40	24	960	0.0021	36.60835	-121.93103	"with 338, measurements not taken."			
"MC344"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	1	0.5	0	0	0		3.27	3.48	1.0642201835	15.5	16.98	38.97	0.56	"?"	"N"	0	"log"	230	20	4600	0.0004	36.60815	-121.93121	"30 cm from 343"			
"MC346"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	0	0	0	0	0		3.74	4.95	1.3235294118	15	16.98	38.97	0.56	"?"	"N"	0	"log"	157	28	4396	0.0005	36.60798	-121.93134	"15 cm from 347"			
"MC347"	"B. luciae"	"1/17/15"	"Rip Van Winkle Open Space"	"RV"	4	2	0	0	0	0	0		3.55	5.58	1.5718309859	15	16.98	38.97	0.56	"?"	"N"	0	"log"	157	28	4396	0.0005	36.60798	-121.93134	"15 cm from 346"			
