Zscore,longitude,latitude,year,group
27.21,-118.4323797,36.82354228,2006,positive
27.13,-118.43037,36.82588259,2006,positive
27,-118.4252046,36.81091124,2006,positive
26.86408,-118.5312129,37.08103772,2006,positive
26.38,-118.4530614,36.64612971,2006,positive
25.82,-118.4232941,36.81456708,2006,positive
24,-118.4530614,36.64612971,2006,positive
23.94,-118.4252046,36.81091124,2006,positive
22.95,-118.4252046,36.81091124,2006,positive
22.31,-118.4286489,36.82408687,2006,positive
20.68,-118.4530614,36.64612971,2006,positive
20.63,-118.4530614,36.64612971,2006,positive
20.47,-118.4252046,36.81091124,2006,positive
19.27,-118.4252046,36.81091124,2006,positive
19.06,-118.4252046,36.81091124,2006,positive
18.85,-118.4232941,36.81456708,2006,positive
18.69,-118.4232941,36.81456708,2006,positive
18.58,-118.4286489,36.82408687,2006,positive
18.52,-118.4289099,36.80945064,2006,positive
17.81,-118.4530614,36.64612971,2006,positive
17.81,-118.4286489,36.82408687,2006,positive
16.95,-118.4323797,36.82354228,2006,positive
16.89,-118.4152073,36.81202757,2006,positive
16.4,-118.4232941,36.81456708,2006,positive
16.29,-118.4248318,36.81292848,2006,positive
16.15,-118.4237168,36.8155169,2006,positive
15.66,-118.4252046,36.81091124,2006,positive
14.72,-118.4232941,36.81456708,2006,positive
14.66,-118.4252046,36.81091124,2006,positive
14.21,-118.4252046,36.81091124,2006,positive
13.9,-118.4286489,36.82408687,2006,positive
13.6,-118.4248318,36.81292848,2006,positive
13.29,-118.4276806,36.81976438,2006,positive
13.13,-118.4232941,36.81456708,2006,positive
12.96,-118.4252046,36.81091124,2006,positive
11.78,-118.4323797,36.82354228,2006,positive
11.65,-118.4323797,36.82354228,2006,positive
11.34,-118.4252046,36.81091124,2006,positive
10.86,-118.4252046,36.81091124,2006,positive
10.78,-118.4610758,36.6419294,2006,positive
9.94,-118.4252046,36.81091124,2006,positive
9.69,-118.43037,36.82588259,2006,positive
9.19,-118.4553895,36.65016068,2006,positive
9.19,-118.4252046,36.81091124,2006,positive
8.8,-118.4252046,36.81091124,2006,positive
8.35,-118.4530614,36.64612971,2006,positive
8.14,-118.4323797,36.82354228,2006,positive
8.08,-118.4610758,36.6419294,2006,positive
8.01,-118.4232941,36.81456708,2006,positive
7.98,-118.4252046,36.81091124,2006,positive
7.26,-118.4235152,36.81222305,2006,positive
7,-118.4235152,36.81222305,2006,positive
6.85,-118.4252046,36.81091124,2006,positive
6.66,-118.4252046,36.81091124,2006,positive
6.51,-118.4323797,36.82354228,2006,positive
6.51,-118.4252046,36.81091124,2006,positive
6.46,-118.4323797,36.82354228,2006,positive
6.4,-118.4598532,36.64703823,2006,positive
6.39,-118.4530614,36.64612971,2006,positive
6.28,-118.4323797,36.82354228,2006,positive
6.08,-118.4286489,36.82408687,2006,positive
5.97,-118.4252046,36.81091124,2006,positive
5.79,-118.4553895,36.65016068,2006,positive
5.739008,-118.5182907,37.08372281,2006,positive
5.73,-118.4276806,36.81976438,2006,positive
5.57,-118.4252046,36.81091124,2006,positive
5.01,-118.4530614,36.64612971,2006,positive
4.955944,-118.5427393,37.06918702,2006,positive
4.65,-118.4553895,36.65016068,2006,positive
4.64,-118.4286489,36.82408687,2006,positive
4.44,-118.4252046,36.81091124,2006,positive
4.36,-118.4323797,36.82354228,2006,positive
4.24,-118.4252046,36.81091124,2006,positive
4.17,-118.4252046,36.81091124,2006,positive
4.15,-118.4232941,36.81456708,2006,positive
3.91,-118.4323797,36.82354228,2006,positive
3.65,-118.4610758,36.6419294,2006,positive
3.02,-118.4248318,36.81292848,2006,positive
2.702768,-118.5329916,37.08348275,2006,positive
2.598776,-118.5182907,37.08372281,2006,positive
2.41856,-118.5197552,37.0837044,2006,positive
2.009976,-118.5312129,37.08103772,2006,positive
1.92,-118.4248318,36.81292848,2006,positive
1.8,-118.4610758,36.6419294,2006,positive
1.72,-118.4235152,36.81222305,2006,positive
1.55,-118.4530614,36.64612971,2006,positive
1.48,-118.4252046,36.81091124,2006,positive
1.43,-118.4289099,36.80945064,2006,positive
1.018504,-118.5197552,37.0837044,2006,positive
1.01,-118.4323797,36.82354228,2006,positive
1.0096,-118.5347391,37.08234071,2006,positive
0.99,-118.4286489,36.82408687,2006,positive
0.97,-118.4323797,36.82354228,2006,positive
0.83,-118.4553895,36.65016068,2006,positive
0.56,-118.4235152,36.81222305,2006,positive
0.51,-118.4530614,36.64612971,2006,positive
0.35,-118.4323797,36.82354228,2006,positive
0.231708,-118.5427393,37.06918702,2006,positive
0.2,-118.4530614,36.64612971,2006,positive
0.19,-118.4248318,36.81292848,2006,positive
0.18,-118.4248318,36.81292848,2006,positive
0.17,-118.4553895,36.65016068,2006,positive
0.11,-118.4152073,36.81202757,2006,positive
0.1055304,-118.5189264,37.08384656,2006,positive
